groupId,groupName,groupAddress,groupCity,groupRegion,groupCountry,groupPhoneNo,groupEmail,groupIdentification,groupStatus
CORP TEST-1-284648,TESTGR1,ADDRESS1,Palm Beach,Florida,United States,+Test1,Test1@wncnw.com,NIT- NUM. DE IDENTIF. TRIBUTARIA,Activo
CORP TEST-10-20648,TESTGR2,ADDRESS2,Duvernay-Est,Quebec,Canada,+Test2,Test2@sbcglobal.net,NIT- NUM. DE IDENTIF. TRIBUTARIA,Activo
CORP TEST-2-426844,TESTGR3,ADDRESS3,Saraland,Alabam,United States,+Test3,Test3@yahoo.ca,NIT- NUM. DE IDENTIF. TRIBUTARIA,Activo
CORP TEST-3-246545,TESTGR4,ADDRESS4,Forsyth, Montana,United States,+Test4,Test4@live.com,NIT- NUM. DE IDENTIF. TRIBUTARIA,Activo
CORP TEST-4-428454,TESTGR5,ADDRESS5,Wrens,Georgia,United States,+Test5,Test5@verizon.net,NIT- NUM. DE IDENTIF. TRIBUTARIA,Activo
CORP TEST-5-968689,TESTGR6,ADDRESS6,Knoxville,Tennessee,United States,+Test6,Test6@outlook.com,NIT- NUM. DE IDENTIF. TRIBUTARIA,Activo
CORP TEST-6-015240,TESTGR7,ADDRESS7,Port Hueneme,California,United States,+Test7,Test7@sbcglobal.net,NIT- NUM. DE IDENTIF. TRIBUTARIA,Activo
CORP TEST-7-425415,TESTGR8,ADDRESS8,Mount Pleasant,Texas,United States,+Test8,Test8@mac.com,NIT- NUM. DE IDENTIF. TRIBUTARIA,Activo
CORP TEST-8-145174,TESTGR9,ADDRESS9,Madison,Wisconsin,United States,+Test9,Test9@verizon.net,NIT- NUM. DE IDENTIF. TRIBUTARIA,Activo
CORP TEST-9-428429,TESTGR10,ADDRESS10,Elmhurst, Illinois,United States,+Test10,Test10@icloud.com,NIT- NUM. DE IDENTIF. TRIBUTARIA,Activo
